Locus-name_V1_12X,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
VIT_07s0104g01020,Oxidoreductase  aldo/keto reductase,,,,
VIT_07s0104g01030,Serine/threonine-protein phosphatase BSL1,K04382,,vv23015mRNA_surveillance_pathway,vv34020Calcium_signaling_pathway
VIT_07s0104g01040,Unknown protein,,,,
VIT_07s0104g01050,Homeobox protein,HBDOM_2,,vv60034HB,
VIT_07s0104g01060,SWA1 (slow walker1); nucleotide binding,K14549,,vv23008Ribosome_biogenesis_in_Eukaryotes,
VIT_07s0104g01070,Cohesin complex subunit SCC3,K06671,,vv44110Cell_cycle,
VIT_07s0104g01080,NPL4,K14015,,vv24141Protein_processing_in_endoplasmic_reticulum,vv50133Primary_active_transporter_cat_A9_to_A18
VIT_07s0104g01090,No hit,,,,
VIT_07s0104g01100,Peroxidase,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
VIT_07s0104g01110,No hit,,,,
VIT_07s0104g01120,Rac GTPase activating protein,RHOGAP,,vv50109Incompletely_characterized_transport_systems,
VIT_07s0104g01130,No hit,,,,
VIT_07s0104g01140,No hit,,,,
VIT_07s0104g01150,RNA-binding protein,,,,
VIT_07s0104g01160,Substrate carrier   Mitochondrial,K03454,,vv50123Porters_cat_18_to_29,
VIT_07s0104g01170,U1 small nuclear ribonucleoprotein C,,,,
VIT_07s0104g01180,Unknown protein,,,,
VIT_07s0104g01190,Retrovirus Pol polyprotein,,,,
VIT_07s0104g01200,Retrovirus Pol polyprotein,,,,
VIT_07s0104g01210,No hit,,,,
VIT_07s0104g01220,Unknown protein,,,,
VIT_07s0104g01230,Auxin response factor 2,ARF2_5,,vv30003Auxin_signaling,vv60004ARF
VIT_07s0104g01240,DegP2 protease,E3_4_21_107,,,
VIT_07s0104g01250,flavin-containing monooxygenase,E1_14_13_8,,vv11000Single_reactions,
VIT_07s0104g01260,flavin-containing monooxygenase,E1_14_13_8,,vv11000Single_reactions,
VIT_07s0104g01270,Kinase interacting family protein,,,,
VIT_07s0104g01280,Na+/H+ antiporter,NHX1,,vv50124Porters_cat_30_to_64,
VIT_07s0104g01290,TUBBY like protein 3 TLP3,TLP3_9,,vv60063TUB,
VIT_07s0104g01300,No hit,,,,
VIT_07s0104g01310,No hit,,,,
VIT_07s0104g01320,Transport inhibitor response 1,TIR1,,vv30003Auxin_signaling,
VIT_07s0104g01330,Unknown protein,,,,
VIT_07s0104g01340,Nodulin MtN3 family,,,,
VIT_07s0104g01350,Integral membrane family protein UPF0497,,,,
VIT_07s0104g01360,Constans-like 13,COL13,,vv30009Flower_development,vv34710Circadian_rhythm
VIT_07s0104g01370,Zinc finger (C3HC4-type ring finger),ZFC3HC4_51,,vv60078Other_zf-C3HC4,
VIT_07s0104g01380,GP5 ubiquitin-like,,,,
VIT_07s0104g01390,Arsenate reductase (glutaredoxin),E1_20_4_1,,vv11000Single_reactions,
VIT_07s0104g01400,Glutaredoxin,,,,
VIT_07s0104g01410,OTU cysteine protease,,,,
VIT_07s0104g01420,Glutaredoxin,,,,
VIT_07s0104g01430,Phototropic-responsive NPH3,,,,
VIT_07s0104g01440,Phototropic-responsive NPH3,,,,
VIT_07s0104g01450,No hit,,,,
VIT_07s0104g01460,Zinc finger (CCCH-type) family protein,CCCHFAM_7,,vv60018C3H,
VIT_07s0104g01470,Peptide chain release factor 1,,,,
VIT_07s0104g01480,Cold-induced thioredoxin domain,,,,
VIT_07s0104g01490,Transcription termination factor mitochondrial mTERF,MTERF_11,,vv60085MTERF,
VIT_07s0104g01500,Transcription termination factor mitochondrial mTERF,MTERF_10,,vv60085MTERF,
VIT_07s0104g01510,Transcription termination factor mitochondrial mTERF,MTERF_9,,vv60085MTERF,
VIT_07s0104g01520,Transcription termination factor mitochondrial mTERF,MTERF_8,,vv60085MTERF,
VIT_07s0104g01530,Transcription termination factor mitochondrial mTERF,MTERF_7,,vv60085MTERF,
VIT_07s0104g01540,No hit,,,,
VIT_07s0104g01550,Transcription termination factor mitochondrial mTERF,MTERF_6,,vv60085MTERF,
VIT_07s0104g01560,Transcription termination factor mitochondrial mTERF,MTERF_32,,vv60085MTERF,
VIT_07s0104g01570,Metal tolerance protein C1 (AtMTPc1),MTPC1,,vv50121Porters_cat_1_to_6,
VIT_07s0104g01580,Luminidependens,LD,,vv30009Flower_development,vv60034HB
VIT_07s0104g01590,Cullin-1,K03347,,vv24120Ubiquitin_mediated_proteolysis,vv30003Auxin_signaling
VIT_07s0104g01600,MORC family CW-type zinc finger 4,MORC4,,,
VIT_07s0104g01610,AAA-type ATPase PEX6,PEX6,,vv11012Iba_metabolism,vv44146Peroxisome
VIT_07s0104g01620,Zinc finger (C2H2 type) MAGPIE,MAGPIE_1,,vv60017C2H2,
VIT_07s0104g01630,Myb family,MYBREL_2,,vv60045MYBrelated,
VIT_07s0104g01640,Nuclear transcription factor Y subunit B-5,NFYB5_2,,vv60021CCAAT,
VIT_07s0104g01650,HAK5 (High affinity K+ transporter 5),HAK5,,vv50125Porters_cat_66_to_94,
VIT_07s0104g01660,HAK5 (High affinity K+ transporter 5),HAK5,,vv50125Porters_cat_66_to_94,
VIT_07s0104g01670,HAK5 (High affinity K+ transporter 5),HAK5,,vv50125Porters_cat_66_to_94,
VIT_07s0104g01680,Dephospho-CoA kinase,E2_7_1_48,,vv10240Pyrimidine_metabolism,
VIT_07s0104g01690,Transposon protein  CACTA  En/Spm sub-class,,,,
VIT_07s0104g01700,Cell cycle protein WEE1,K06632,,vv44110Cell_cycle,
VIT_07s0104g01710,HAK5 (High affinity K+ transporter 5),HAK5,,vv50125Porters_cat_66_to_94,
VIT_07s0104g01720,HAK5 (High affinity K+ transporter 5),HAK5,,vv50125Porters_cat_66_to_94,
VIT_07s0104g01730,HAK5 (High affinity K+ transporter 5),HAK5,,vv50125Porters_cat_66_to_94,
VIT_07s0104g01740,Protein kinase WEE1,K06632,,vv44110Cell_cycle,
VIT_07s0104g01750,No hit,,,,
VIT_07s0104g01760,Unknown,,,,
VIT_07s0104g01770,RNA recognition motif (RRM)-containing,,,,
VIT_07s0104g01780,Autophagy 18 ATG18a,ATG18,,vv44140Regulation_of_autophagy,
VIT_07s0104g01790,Autophagy 18 ATG18d,ATG18,,vv44140Regulation_of_autophagy,
VIT_07s0104g01800,Glutathione S-transferase 13 GSTF13,E2_5_1_18_GSTF13,,vv10480Glutathione_metabolism,
VIT_07s0104g01810,Glutathione S-transferase 13 GSTF13,E2_5_1_18_GSTF13,,vv10480Glutathione_metabolism,
VIT_07s0104g01820,Glutathione S-transferase 11 GSTF7,E2_5_1_18_GSTF7,,vv10480Glutathione_metabolism,
VIT_07s0104g01830,Glutathione S-transferase 8 GSTF8,E2_5_1_18_GSTF8,,vv10480Glutathione_metabolism,
VIT_07s0129g00010,Unknown protein,,,,
VIT_07s0129g00020,Glycosyl hydrolase family 43 protein,,,,
VIT_07s0129g00030,Short-root transcription factor (SHR),SGR7_4,,vv60032GRAS,
VIT_07s0129g00040,Peptidyl-prolyl cis-trans isomerase-like 2,K10598,,vv23040Spliceosome,vv24120Ubiquitin_mediated_proteolysis
VIT_07s0129g00050,Unknown protein,,,,
VIT_07s0129g00060,Adenylylsulfate kinase,E2_7_1_25,,vv10230Purine_metabolism,vv10450Selenoamino_acid_metabolism
VIT_07s0129g00070,BTB/POZ domain-containing protein,BTBDOM_5,,vv60093TRAF,
VIT_07s0129g00080,Sulfate transporter protein,SULTRREL,,vv50124Porters_cat_30_to_64,
VIT_07s0129g00090,Ribosomal protein L26 (RPL26A) 60S,K02898,,vv23010Ribosome,
VIT_07s0129g00100,Voltage dependent anion channel 2,VDAC2,,vv50101Channels_and_pores,
VIT_07s0129g00110,Ca2+-ATPase 2 ACA2  plasma membrane,K01537,,vv34020Calcium_signaling_pathway,vv50131Primary_active_transporter_cat_A2_to_A4
VIT_07s0129g00120,Peptidyl-prolyl cis-trans isomerase-like 2,K10598,,vv24120Ubiquitin_mediated_proteolysis,
VIT_07s0129g00130,Unknown,,,,
VIT_07s0129g00140,Adenylylsulfate kinase,E2_7_1_25,,vv10230Purine_metabolism,vv10450Selenoamino_acid_metabolism
VIT_07s0129g00150,BTB/POZ domain-containing protein,BTBDOM_4,,vv60093TRAF,
VIT_07s0129g00160,Ribosomal protein L26 (RPL26A) 60S,K02898,,vv23010Ribosome,
VIT_07s0129g00170,Porin,K07267,,vv50101Channels_and_pores,
VIT_07s0129g00180,Ca2+-ATPase 2 ACA2  plasma membrane,K01537,,vv34020Calcium_signaling_pathway,vv50131Primary_active_transporter_cat_A2_to_A4
VIT_07s0129g00190,Binding,,,,
VIT_07s0129g00200,Cyclin-D5-1,CYCD5_2,,vv44110Cell_cycle,
VIT_07s0129g00210,BT4 (BTB and TAZ Domain protein 4),BTA4,,vv60060TAZ,
VIT_07s0129g00220,Actin binding formin homology 2,FH2,,vv44810Regulation_of_actin_cytoskeleton,
VIT_07s0129g00230,Glucan endo-1 3-beta-glucosidase 7 precursor,E3_2_1_39,,vv10500Starch_and_sucrose_metabolism,
VIT_07s0129g00240,C2H2 zinc finger protein AZF1,AZF1,,vv60017C2H2,
VIT_07s0129g00250,Phototropic-responsive NPH3,,,,
VIT_07s0129g00260,N-acetyltransferase hookless1 HLS1,HLS1_1,,vv30008Ethylene_signaling,vv50004Auxin_transport
VIT_07s0129g00270,Casein kinase II alpha chain,K03097,,vv23008Ribosome_biogenesis_in_Eukaryotes,vv34710Circadian_rhythm
VIT_07s0129g00280,Unknown protein,,,,
VIT_07s0129g00290,formamidase  putative / formamide amidohydrolase  putative,E3_5_1_49,,vv10630Glyoxylate_and_dicarboxylate_metabolism,vv10910Nitrogen_metabolism
VIT_07s0129g00300,formamidase  putative / formamide amidohydrolase  putative,E3_5_1_49,,vv10630Glyoxylate_and_dicarboxylate_metabolism,vv10910Nitrogen_metabolism
VIT_07s0129g00310,Formamidase,E3_5_1_49,,vv10630Glyoxylate_and_dicarboxylate_metabolism,vv10910Nitrogen_metabolism
VIT_07s0129g00320,formamidase  putative / formamide amidohydrolase  putative,E3_5_1_49,,vv10630Glyoxylate_and_dicarboxylate_metabolism,vv10910Nitrogen_metabolism
VIT_07s0129g00330,Lateral organ boundaries protein 39,LBD39,,vv60007AS2,
VIT_07s0129g00340,Shoot gravitropism 7,SGR7_2,,vv60032GRAS,
VIT_07s0129g00350,Unknown protein,,,,
VIT_07s0129g00360,Peroxidase 73,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
VIT_07s0129g00370,Unknown protein,,,,
VIT_07s0129g00380,Phototropic-responsive NPH3,BTBNPH3_1,,vv60093TRAF,
VIT_07s0129g00390,No hit,,,,
VIT_07s0129g00400,Ribonuclease III,E3_1_26_3,,,
VIT_07s0129g00410,Casein kinase II alpha chain 2,K03097,,vv23008Ribosome_biogenesis_in_Eukaryotes,vv34710Circadian_rhythm
VIT_07s0129g00420,Unknown protein,,,,
VIT_07s0129g00430,Acyl-CoA binding protein,,,,
VIT_07s0129g00440,Major Facilitator Superfamily,MFS,,vv50121Porters_cat_1_to_6,
VIT_07s0129g00450,Retroelement,,,,
VIT_07s0129g00460,Prolyl 4-hydroxylase,E1_14_11_2,,vv10330Arginine_and_proline_metabolismis,
VIT_07s0129g00470,Unknown protein,,,,
VIT_07s0129g00480,Molecular chaperone DnaJ,K03686,,vv50132Primary_active_transporter_cat_A5_to_A8,
VIT_07s0129g00490,Hydrogenobyrinic acid a c-diamide synthase,E6_3_5_9,,vv50101Channels_and_pores,
VIT_07s0129g00500,Seed maturation protein PM21,,,,
VIT_07s0129g00510,Unknown,,,,
VIT_07s0129g00520,Protein phosphatase 2C,E3_1_3_16,,,
VIT_07s0129g00530,Hydrolase  alpha/beta fold family,,,,
VIT_07s0129g00540,Tetratricopeptide repeat (TPR)-containing,,,,
VIT_07s0129g00550,Tetratricopeptide repeat (TPR)-containing,,,,
VIT_07s0129g00560,No hit,,,,
VIT_07s0129g00570,Transducin family protein / WD-40 repeat,,,,
VIT_07s0129g00580,Snakin-1,SNAKIN,,vv30010Gibberellin_signaling,
VIT_07s0129g00590,Armadillo/beta-catenin repeat protein / U-box domain-containing,,,,
VIT_07s0129g00600,Peptidase aspartic,,,,
VIT_07s0129g00610,ABI3-interacting protein 2,AIP2,,vv30001ABA_signaling,
VIT_07s0129g00620,Metal transporter Nramp3,NRAMP3,,vv50124Porters_cat_30_to_64,
VIT_07s0129g00630,Unknown protein,,,,
VIT_07s0129g00640,Unknown protein,,,,
VIT_07s0129g00650,MADS-box agamous-like 104,AGL104_2,,vv60042MADS,
VIT_07s0129g00660,Indole-3-acetic acid-amido synthetase GH3.2,AUXINBIOSYNTHESIS_GH3,,vv11002Auxin_biosynthesis,
VIT_07s0129g00670,Zinc finger protein 4,ZFP4_4,,vv60017C2H2,
VIT_07s0129g00680,Pentatricopeptide (PPR) repeat-containing protein,,,,
VIT_07s0129g00690,HOS15 (High expression of osmotically responsive genes 15),,,,
VIT_07s0129g00700,CYP81E1 Isoflavone 2'-hydroxylase,E1_14_13_89,,vv10943Isoflavonoid_biosynthesis,
VIT_07s0129g00710,CYP81E1 Isoflavone 2'-hydroxylase,E1_14_13_89,,vv10943Isoflavonoid_biosynthesis,
VIT_07s0129g00720,No hit,,,,
VIT_07s0129g00730,CYP81E1 Isoflavone 2'-hydroxylase,E1_14_13_89,,vv10943Isoflavonoid_biosynthesis,
VIT_07s0129g00740,Retrovirus Pol polyprotein,,,,
VIT_07s0129g00750,CYP81D8,,,,
VIT_07s0129g00760,CYP81E1 Isoflavone 2'-hydroxylase,E1_14_13_89,,vv10943Isoflavonoid_biosynthesis,
VIT_07s0129g00770,CYP81D2,,,,
VIT_07s0129g00780,CYP81D6,CYP81D6,,,
VIT_07s0129g00790,Ribulose bisphosphate carboxylase/oxygenase large subunit,E4_1_1_39,,vv10710Carbon_fixation,
VIT_07s0129g00800,CYP81E1 Isoflavone 2'-hydroxylase,E1_14_13_89,,vv10943Isoflavonoid_biosynthesis,
VIT_07s0129g00810,CYP81E8,,,,
VIT_07s0129g00820,CYP81E1 Isoflavone 2'-hydroxylase,E1_14_13_89,,vv10943Isoflavonoid_biosynthesis,
VIT_07s0129g00830,CYP81D2,,,,
VIT_07s0129g00840,Retrovirus Pol polyprotein,,,,
VIT_07s0129g00850,CYP81D8,,,,
VIT_07s0129g00860,CYP81E1 Isoflavone 2'-hydroxylase,E1_14_13_89,,vv10943Isoflavonoid_biosynthesis,
VIT_07s0129g00870,Protein kinase family,,,,
VIT_07s0129g00880,Protein kinase family,,,,
VIT_07s0129g00890,Protein kinase,,,,
VIT_07s0129g00900,No hit,,,,
VIT_07s0129g00910,Protein kinase,,,,
VIT_07s0129g00920,Receptor-like protein kinase,,,,
VIT_07s0129g00930,Unknown protein,,,,
VIT_07s0129g00940,Protein kinase,,,,
VIT_07s0129g00950,Protein kinase,,,,
VIT_07s0129g00960,Protein kinase pto,K13435,,vv34626Plant-pathogen_interaction,
VIT_07s0129g00970,Protein kinase family,,,,
VIT_07s0129g00980,Retrovirus Pol polyprotein,,,,
VIT_07s0129g00990,Protein kinase,,,,
VIT_07s0129g01000,F-box family protein,,,,
VIT_07s0129g01010,Unknown,,,,
VIT_07s0129g01020,MRG,,,,
VIT_07s0129g01030,Cinnamyl alcohol dehydrogenase,E1_1_1_195,,vv10940Phenylpropanoid_biosynthesis,
VIT_07s0129g01040,Copper-exporting ATPase HMA1 (Heavy metal ATPase 1),HMA1,,vv50131Primary_active_transporter_cat_A2_to_A4,
VIT_07s0129g01050,Myb domain protein 73,MYB73_2,MYB172,vv60044MYB,
VIT_07s0129g01060,D-amino acid oxidase,E1_4_3_3,,vv10260Glycine_serine_and_threonine_metabolism,
VIT_07s0129g01070,Leucine-rich repeat protein kinase,,,,
VIT_07s0129g01080,Microtubule end binding protein 1 (EB1),K10436,,vv44810Regulation_of_actin_cytoskeleton,
VIT_07s0129g01090,ADP-ribosylation factor,,,,
VIT_07s0129g01100,Cyclin D,CYCD3_3,,vv44110Cell_cycle,
VIT_07s0129g01110,Avr9/Cf-9 rapidly elicited protein 189,,,,
VIT_07s0129g01120,RNA exonuclease 1,K14570,,vv23008Ribosome_biogenesis_in_Eukaryotes,
VIT_07s0130g00010,Peroxiredoxin-2B,E1_11_1_15,,,
VIT_07s0130g00020,NADPH2:quinone reductase,E1_6_5_5,,vv10740Riboflavin_metabolism,
VIT_07s0130g00030,Proteinase inhibitor se60,,,,
VIT_07s0130g00040,Myb domain protein 4,MYB4_10,MYB3,vv60044MYB,
VIT_07s0130g00050,Zinc finger (C3HC4-type ring finger),ZFC3HC4_81,,vv60078Other_zf-C3HC4,
VIT_07s0130g00060,Unknown protein,,,,
VIT_07s0130g00070,Cation-transporting ATPase,K01552,,vv50131Primary_active_transporter_cat_A2_to_A4,
VIT_07s0130g00080,3-phosphoinositide-dependent protein kinase-1,,,,
VIT_07s0130g00090,No hit,,,,
VIT_07s0130g00100,Auxin responsive SAUR protein,SAUR,,vv30003Auxin_signaling,
VIT_07s0130g00110,SWITCH1 splice variant L phospholipase C,,,,
VIT_07s0130g00120,Tetratricopeptide repeat (TPR)-containing,,,,
VIT_07s0130g00130,Calcium-dependent protein kinase 4 CPK4,CPK4,,vv30001ABA_signaling,vv34626Plant-pathogen_interaction
VIT_07s0130g00140,Thioesterase family,,,,
VIT_07s0130g00150,Thioesterase family,,,,
VIT_07s0130g00160,No hit,,,,
VIT_07s0130g00170,Transmembrane CLPTM1 Cleft lip and palate transmembrane protein 1,,,,
VIT_07s0130g00180,Pentatricopeptide (PPR) repeat-containing,,,,
VIT_07s0130g00190,Suppressor of gene silencing 3 (SGS3),,,,
VIT_07s0130g00200,Lipase GDSL,,,,
VIT_07s0130g00210,PHD finger transcription factor,PHDFG_34,,vv60048PHD,
VIT_07s0130g00220,Peroxidase ATP32  class III,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
VIT_07s0130g00230,Vesicle transport protein SFT2B,SFT2,,vv50109Incompletely_characterized_transport_systems,
VIT_07s0130g00240,Zinc finger homeobox 21,ZFHB21_2,,vv60068Zf-HD,
VIT_07s0130g00250,4 5-DOPA dioxygenase extradiol,DODA,,vv10350Tyrosine_metabolism,
VIT_07s0130g00260,SET domain-containing protein,SETDOM_6,,vv60056SET_PCG,
VIT_07s0130g00270,Unknown protein,,,,
VIT_07s0130g00280,Transposon,,,,
VIT_07s0130g00290,Transposase  IS4,,,,
VIT_07s0130g00300,MAPKKK21,,,,
VIT_07s0130g00310,Unknown protein,,,,
VIT_07s0130g00320,Esterase/lipase/thioesterase,,,,
VIT_07s0130g00330,No hit,,,,
VIT_07s0130g00340,Esterase/lipase/thioesterase,,,,
VIT_07s0130g00350,Serine C-palmitoyltransferase (LCB2),E2_3_1_50,,vv10600Sphingolipid_metabolism,
VIT_07s0130g00360,Ribonuclease H,,,,
VIT_07s0130g00370,Smr protein/MutS2 C-terminal,,,,
VIT_07s0130g00380,DNA (cytosine-5)-methyltransferase AthI,E2_1_1_37,,vv10271Methionine_metabolism,
VIT_07s0130g00390,DNA (cytosine-5)-methyltransferase,E2_1_1_37,,vv10271Methionine_metabolism,
VIT_07s0130g00400,Chloride channel protein (CLC-c),K05393_CLCC,,vv50124Porters_cat_30_to_64,
VIT_07s0130g00410,T-complex protein 1 subunit gamma,K09495,,,
VIT_07s0130g00420,Unknown protein,,,,
VIT_07s0130g00430,SWIB complex BAF60b domain-containing protein,SWIB_2,,vv60092SWIB,
VIT_07s0130g00440,No hit,,,,
VIT_07s0130g00450,No hit,,,,
VIT_07s0130g00460,SWIB complex BAF60b domain-containing protein,SWIB_3,,vv60092SWIB,
VIT_07s0130g00470,Ankyrin repeat,K10380,,,
VIT_07s0130g00480,Unknown protein,,,,
VIT_07s0130g00490,Anaphase-promoting complex/cyclosome 8,K03355,,vv24120Ubiquitin_mediated_proteolysis,vv44110Cell_cycle
VIT_07s0130g00500,No hit,,,,
VIT_07s0130g00510,Transcription factor related,,,,
VIT_07s0141g00010,Unknown,,,,
VIT_07s0141g00020,Sensitive to proton rhizotoxicity 1,STOP1_3,,vv60017C2H2,
VIT_07s0141g00030,fatty acid elongase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
VIT_07s0141g00040,Protein phosphatase 2C,E3_1_3_16,,,
VIT_07s0141g00050,Retrovirus Pol polyprotein,,,,
VIT_07s0141g00060,Beta-ketoacyl-CoA-synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
VIT_07s0141g00070,Beta-keto-Coa synthase,,,,
VIT_07s0141g00080,Aquaporin NIP4;1,NIP4_1,,vv50101Channels_and_pores,
VIT_07s0141g00090,Fatty acid elongase 1,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
VIT_07s0141g00100,Myb domain protein 93,MYB93_2,MYB179,vv60044MYB,
VIT_07s0141g00110,Guanylate-binding,E3_6_5_1,,,
VIT_07s0141g00120,No hit,,,,
VIT_07s0141g00130,Protein phosphatase 2C,,,,
VIT_07s0141g00140,Histone acetyltransferase GCN5,HAGCN5_1,,vv60082GNAT,
VIT_07s0141g00150,Histone acetyl transferase HAM1,HAM1_1,,vv60082GNAT,
VIT_07s0141g00160,Aquaporin NIP4;1,NIP4_1,,vv50101Channels_and_pores,
VIT_07s0141g00170,BZIP transcription factor BZO2H3,BZO2H3_3,VvbZIP21,vv60012BZIP,
VIT_07s0141g00180,POR (PORCINO),PORCINO,,vv44810Regulation_of_actin_cytoskeleton,
VIT_07s0141g00190,SAM (and some other nucleotide) binding motif,,,,
VIT_07s0141g00200,Ribosomal protein L29 50S,K02904,,vv23010Ribosome,
VIT_07s0141g00210,Tryptophan synthase  alpha subunit,E4_2_1_20,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
VIT_07s0141g00220,Unfertilized embryo sac 12 UNE12,UNE12_2,,vv60011BHLH,
VIT_07s0141g00230,Ubiquitin-specific protease 3 (UBP3),K01072,,,
VIT_07s0141g00240,NADH dehydrogenase (ubiquinone) flavoprotein 2,K03943,,vv10190Oxidative_phosphorylation,vv50134Primary_active_transporter_cat_D1
VIT_07s0141g00250,Ethylene-induced calmodulin-binding protein 1,EICBP1_1,,vv30008Ethylene_signaling,vv30011Jasmonate_signaling
VIT_07s0141g00260,Unknown protein,,,,
VIT_07s0141g00270,Auxin-induced protein 22D,IAA22D_1,,vv30003Auxin_signaling,vv60008AUXIAA
VIT_07s0141g00280,CDKC;1; CDKC;1 (CYCLIN-dependent kinase C;1),CDKC1,,vv44110Cell_cycle,
VIT_07s0141g00290,IAA16,IAA16_2,,vv30003Auxin_signaling,vv60008AUXIAA
VIT_07s0141g00300,Calcium-binding protein CML,K13448,,vv34626Plant-pathogen_interaction,
VIT_07s0141g00310,Phosphoribulokinase/uridine kinase,E2_7_1_48,,vv10240Pyrimidine_metabolism,
VIT_07s0141g00320,ferredoxin,K02639,,vv10195Photosynthesis,
VIT_07s0141g00330,F-box protein (FBL17),,,,
VIT_07s0141g00340,Lipoxygenase,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
VIT_07s0141g00350,Oxidoreductase,,,,
VIT_07s0141g00360,Lipase class 3,,,,
VIT_07s0141g00370,No hit,,,,
VIT_07s0141g00380,U3 small nucleolar RNA-associated protein 18,K14553,,vv23008Ribosome_biogenesis_in_Eukaryotes,
VIT_07s0141g00390,Glutathione reductase (NADPH),E1_8_1_7,,vv10251Glutamate_metabolism,vv10480Glutathione_metabolism
VIT_07s0141g00400,Retroelement,,,,
VIT_07s0141g00410,Copia transposable element,,,,
VIT_07s0141g00420,Poly(A)-specific ribonuclease,K01148,,vv23018RNA_degradation,
VIT_07s0141g00430,Mutator-like transposase,,,,
VIT_07s0141g00440,Unc51-like kinase,K08269,,vv44140Regulation_of_autophagy,vv34150mTOR_signaling_pathway
VIT_07s0141g00450,No hit,,,,
VIT_07s0141g00460,Tubulin folding cofactor D,TFCD,,vv44810Regulation_of_actin_cytoskeleton,
VIT_07s0141g00470,RNA polymerase Rpb7 N-terminal domain-containing,,,,
VIT_07s0141g00480,No hit,,,,
VIT_07s0141g00490,Pentatricopeptide repeat-containing protein,,,,
VIT_07s0141g00500,V-type H+-transporting ATPase 21kDa proteolipid subunit,K03661,,vv10190Oxidative_phosphorylation,vv44145Phagosome
VIT_07s0141g00510,RNA polymerase Rpb7 N-terminal domain-containing,,,,
VIT_07s0141g00520,Serine carboxypeptidase 1 precursor,,,,
VIT_07s0141g00530,U3 small nucleolar RNA-associated protein 18,K14553,,vv23008Ribosome_biogenesis_in_Eukaryotes,
VIT_07s0141g00540,Multi-copper oxidase (SKU5),SKS3,,vv50109Incompletely_characterized_transport_systems,
VIT_07s0141g00550,No hit,,,,
VIT_07s0141g00560,No hit,,,,
VIT_07s0141g00570,Photosystem II reaction centre W (PsbW),K08903,,vv10195Photosynthesis,vv50135Primary_active_transporter_cat_D3_to_E2
VIT_07s0141g00580,Glycosyl transferase family 8 protein,,,,
VIT_07s0141g00590,Magnesium transporter CorA-like family protein (MRS2-2),MRS2_2,,vv50101Channels_and_pores,
VIT_07s0141g00600,Unknown protein,,,,
VIT_07s0141g00610,Zinc finger (C3HC4-type ring finger),ZFC3HC4_217,,vv60078Other_zf-C3HC4,
VIT_07s0141g00620,Bile acid:sodium symporter,K03453,,vv50123Porters_cat_18_to_29,
VIT_07s0141g00630,Prenylated rab acceptor (PRA1),,,,
VIT_07s0141g00640,ProT1 (PROLINE transporter 1),PROT1,,vv50123Porters_cat_18_to_29,
VIT_07s0141g00650,No hit,,,,
VIT_07s0141g00660,Signal recognition particle subunit 9 SRP9,K03109,,vv23060Protein_export,vv50132Primary_active_transporter_cat_A5_to_A8
VIT_07s0141g00670,No hit,,,,
VIT_07s0141g00680,WRKY DNA-binding protein 39,WRKY39_2,VvWRKY17,vv60066WRKY,
VIT_07s0141g00690,ERF/AP2 transcription factor sub B-1(ATERF-3),ERF3_2,VvERF065,vv30008Ethylene_signaling,vv60003AP2_EREBP
VIT_07s0141g00700,R protein MLA10,K13475,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_07s0141g00710,Ribosomal protein S15 (RPS15D) 40S,K02958,,vv23010Ribosome,
VIT_07s0141g00720,fimbrin 1,FIMBRIN1,,vv44810Regulation_of_actin_cytoskeleton,
VIT_07s0141g00730,Histone H1,,,,
VIT_07s0141g00740,fimbrin 1,FIMBRIN1,,vv44810Regulation_of_actin_cytoskeleton,
VIT_07s0141g00750,Triacylglycerol lipase,E3_1_1_3,,vv10561Glycerolipid_metabolism,
VIT_07s0141g00760,Unknown protein,,,,
VIT_07s0141g00770,RAB GTPase RABA5E,K07976,,,
VIT_07s0141g00780,Pentatricopeptide (PPR) repeat-containing protein,,,,
VIT_07s0141g00790,Unknown protein,,,,
VIT_07s0141g00800,FLK (flowering locus KH domain),FLK,,vv30009Flower_development,
VIT_07s0141g00810,Zinc finger  SWIM-type,ZFSWIM_9,,vv60074Orphans_zf-SWIM,
VIT_07s0141g00820,No hit,,,,
VIT_07s0141g00830,2-keto-3-deoxygluconokinase pfkB-type carbohydrate kinase,E2_7_1_15,,vv10030Pentose_phosphate,
VIT_07s0141g00840,33 kDa secretory protein,,,,
VIT_07s0141g00850,ATP-binding protein involved in chromosome partitioning MRP,K03593,,vv44110Cell_cycle,vv52010ABC_transporters
VIT_07s0141g00860,IFA binding protein,,,,
VIT_07s0141g00870,33 kDa secretory protein,,,,
VIT_07s0141g00880,Unknown protein,,,,
VIT_07s0141g00890,CYP94A1,,,,
VIT_07s0141g00900,No hit,,,,
VIT_07s0141g00910,Retroelement,,,,
VIT_07s0141g00920,CYP94A1,,,,
VIT_07s0141g00930,33 kDa secretory protein,,,,
